Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status
7000801,SF,Kawhi Leonard,LA Clippers,Indiana Pacers,17150,45.13,47.42,EXPECTED STARTER
7000801,PF,Kawhi Leonard,LA Clippers,Indiana Pacers,17150,45.13,47.42,EXPECTED STARTER
7000845,PG,Jrue Holiday,Portland Trail Blazers,Memphis Grizzlies,13660,33.47,34.67,EXPECTED STARTER
7000855,C,Nikola Vucevic,Boston Celtics,Charlotte Hornets,13540,35.64,37.17,
7000875,SG,Jordan Clarkson,New York Knicks,Oklahoma City Thunder,6000,13.95,3.33,
7000905,SF,Paul George,Philadelphia 76ers,Utah Jazz,13140,32.3,35.25,OUT
7000907,PF,Jerami Grant,Portland Trail Blazers,Memphis Grizzlies,11110,28.89,25.33,EXPECTED STARTER
7000911,C,Joel Embiid,Philadelphia 76ers,Utah Jazz,19730,44.9,47.83,OUT
7000949,PF,Giannis Antetokounmpo,Milwaukee Bucks,Atlanta Hawks,19440,51.16,45,EXPECTED STARTER
7000949,C,Giannis Antetokounmpo,Milwaukee Bucks,Atlanta Hawks,19440,51.16,45,EXPECTED STARTER
7000967,SG,Bradley Beal,LA Clippers,Indiana Pacers,6000,12.54,14.67,OUT
7001002,C,Brook Lopez,LA Clippers,Indiana Pacers,9610,16.25,22.92,EXPECTED STARTER
7001019,PG,Kyle Lowry,Philadelphia 76ers,Utah Jazz,6000,5.07,5.67,
7001066,C,Taj Gibson,Memphis Grizzlies,Portland Trail Blazers,6000,0,0,OUT
7001102,C,Jusuf Nurkic,Utah Jazz,Philadelphia 76ers,13190,34.41,31.08,OUT
7001108,SG,Gary Harris,Milwaukee Bucks,Atlanta Hawks,6000,7.26,7.33,
7001117,C,Andre Drummond,Philadelphia 76ers,Utah Jazz,11880,22.12,18,EXPECTED STARTER
7001119,SG,Kentavious Caldwell-Pope,Memphis Grizzlies,Portland Trail Blazers,6650,17.51,18.17,OUT
7001193,PG,CJ McCollum,Atlanta Hawks,Milwaukee Bucks,11880,31.04,29.33,EXPECTED STARTER
7001193,SG,CJ McCollum,Atlanta Hawks,Milwaukee Bucks,11880,31.04,29.33,EXPECTED STARTER
7001197,PF,Nicolas Batum,LA Clippers,Indiana Pacers,6000,11.35,11.25,
7001197,SF,Nicolas Batum,LA Clippers,Indiana Pacers,6000,11.35,11.25,
7001198,PG,Damian Lillard,Portland Trail Blazers,Memphis Grizzlies,6000,0,0,OUT
7001228,C,Kevin Love,Utah Jazz,Philadelphia 76ers,7140,18.48,20.75,
7001308,PF,Bobby Portis,Milwaukee Bucks,Atlanta Hawks,9720,25.59,20.17,
7001308,C,Bobby Portis,Milwaukee Bucks,Atlanta Hawks,9720,25.59,20.17,
7001313,SF,Kelly Oubre,Philadelphia 76ers,Utah Jazz,12100,26.84,23.83,OUT
7001313,PF,Kelly Oubre,Philadelphia 76ers,Utah Jazz,12100,26.84,23.83,OUT
7001322,PG,T.J. McConnell,Indiana Pacers,LA Clippers,8100,21.31,17.67,
7001333,C,Myles Turner,Milwaukee Bucks,Atlanta Hawks,10250,26.98,22.92,EXPECTED STARTER
7001341,PG,Cameron Payne,Philadelphia 76ers,Utah Jazz,6000,10.54,11.75,EXPECTED STARTER
7001357,SF,Pat Connaughton,Charlotte Hornets,Boston Celtics,6000,6.57,6.58,
7001367,C,Karl-Anthony Towns,New York Knicks,Oklahoma City Thunder,17450,41.25,39.42,EXPECTED STARTER
7001367,PF,Karl-Anthony Towns,New York Knicks,Oklahoma City Thunder,17450,41.25,39.42,EXPECTED STARTER
7001371,SF,Thanasis Antetokounmpo,Milwaukee Bucks,Atlanta Hawks,6000,3.03,2.42,
7001406,SF,Jaylen Brown,Boston Celtics,Charlotte Hornets,17780,45.98,50.67,EXPECTED STARTER
7001409,PF,Pascal Siakam,Indiana Pacers,LA Clippers,15220,40.06,20.17,"EXPECTED STARTER, QUESTIONABLE TO PLAY"
7001425,PG,Kris Dunn,LA Clippers,Indiana Pacers,10360,20.58,31.67,EXPECTED STARTER
7001425,SG,Kris Dunn,LA Clippers,Indiana Pacers,10360,20.58,31.67,EXPECTED STARTER
